parkKey,parkName,parkDescription,locationDescription,locationMapLink,locationLatitude,locationLongitude,websiteLink,websiteTitle
annaMarinelli,Anna Marinelli Park,,Albert Street West,,46.521016,-84.356337,"https://www.google.com/maps/@46.520681,-84.356435,3a,75y,15.07h,83.5t/data=!3m4!1e1!3m2!1sqE27IQ5F3L6-QuMqEm-CJQ!2e0",Google Street View
annaMccrea,Anna McCrea Rink,,250 Mark Street,,46.5057029,-84.2895557,"https://www.google.ca/maps/place/250+Mark+St,+Sault+Ste.+Marie,+ON+P6A+3M7/@46.5050368,-84.2892284,3a,75y,103.26h,69.46t/data=!3m6!1e1!3m4!1sMYiHeHLiXEty-JtrgVicrw!2e0!7i13312!8i6656!4m5!3m4!1s0x4d364",
arizona,Arizona Park,,Arizona Avenue at Idaho Drive,,46.515199,-84.281224,"https://www.google.com/maps/@46.5154039,-84.2812519,3a,75y,22h,90t/data=!3m5!1e1!3m3!1sT2vT5t8z57kAAAQXL_pMwA!2e0!3e11",Photo Sphere (By Steven Veldt)
bellevue,Bellevue Park,,Queen Street East at Lake Street,,46.50053,-84.299119,,
birchwood,Birchwood Park,,Birchwood Street,,46.511492,-84.260528,"https://www.google.com/maps/@46.51186,-84.2602858,3a,75y,235.24h,84.19t/data=!3m5!1e1!3m3!1sALd4AKozqwAAAAQfCOxlng!2e0!3e11",Photo Sphere (By Steven Veldt)
boston,Boston Park,,Boston Avenue at Creery Avenue,,46.513164,-84.300615,"https://www.google.com/maps/@46.5128719,-84.300831,3a,75y,330.96h,84.39t/data=!3m4!1e1!3m2!1shYezxm_EBb6rtOPW8AV2Ag!2e0",Google Street View
brookfield,Brookfield Park,,Eden Square at North Eden,,46.532995,-84.395546,"https://www.google.com/maps/@46.5331322,-84.3961439,3a,75y,97.51h,81.78t/data=!3m4!1e1!3m2!1sTBbgsiCYHsKpCS0QIQJQHA!2e0",Google Street View
bruceStreet,Bruce Street Park,,Bruce Street at Gladstone Avenue,,46.519429,-84.323866,"https://www.google.com/maps/@46.5191508,-84.3237958,3a,75y,221h,90t/data=!3m5!1e1!3m3!1sXvIAUxitQM4AAAQXL_pMug!2e0!3e11",Photo Sphere (By Steven Veldt)
cambrianHeights,Cambrian Heights Park,,Plummer Court and Lake Street,,46.531888,-84.298691,"https://www.google.com/maps/@46.5311558,-84.2990769,3a,75y,141h,90t/data=!3m5!1e1!3m3!1svj3szxQr9BMAAAQXL_pMuw!2e0!3e11",Photo Sphere (By Steven Veldt)
centennial,Centennial Park,,Centennial Avenue and Louise Avenue,,46.502446,-84.267826,"https://www.google.com/maps/@46.502305,-84.2677008,3a,75y,44.11h,85.04t/data=!3m5!1e1!3m3!1s-mV8Nsyjf_4AAAQfCOxlnQ!2e0!3e11",Photo Sphere (By Steven Veldt)
clarksCourt,Clark's Court Park,,Chambers Avenue at Elaine Court,,46.511804,-84.269825,"https://www.google.com/maps/@46.511465,-84.2698558,3a,75y,318.76h,89.18t/data=!3m5!1e1!3m3!1sZZvuPBn0gMoAAAQfCOxlpA!2e0!3e11",Photo Sphere (By Steven Veldt)
clergue,Clergue Park,"Includes waterfront walkway (Hub Trail), outdoor fitness equipment, and a ice skating trail in the winter.",Bay Street at East Street,,46.506025,-84.330888,"https://www.google.com/maps/@46.5060147,-84.3322106,3a,75y,211.44h,90.5t/data=!3m5!1e1!3m3!1sCZl7AbGW2jIAAAQXL_pMxA!2e0!3e11",Photo Sphere (By Steven Veldt)
davidKyle,David Kyle Park,,Douglas Street at Fourth Avenue at Fifth Avenue,,46.53216,-84.36566,"https://www.google.com/maps/@46.5326768,-84.3662818,3a,75y,104.93h,84.89t/data=!3m4!1e1!3m2!1sbtGuDkbm626n4fmSDUQRAg!2e0",Google Street View
downey,Downey Park,,215 Hudson Street,,46.5217252,-84.3496014,"https://www.google.ca/maps/place/215+Hudson+St,+Sault+Ste.+Marie,+ON+P6A+1T5/@46.5217252,-84.3496014,3a,75y,269h,90t/data=!3m7!1e1!3m5!1sow56XEAst6Eoux5Ja4J0HQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoi",Google Street View
drakeStreet,Drake Street Park,,Gravelle Street at Welcome Avenue,,46.498151,-84.278365,"https://www.google.com/maps/@46.4981278,-84.27875,3a,75y,124.25h,83.99t/data=!3m5!1e1!3m3!1sB3rLSzFgo7sAAAQfCSyvUg!2e0!3e11",Photo Sphere (By Steven Veldt)
elliott,Elliott Sports Complex,,Rossmore Road,,46.546271,-84.357764,"https://www.google.com/maps/@46.5448562,-84.3577073,3a,75y,40.78h,90.64t/data=!3m4!1e1!3m2!1saZHEQe1X0mQhdhN9si4tnw!2e0",Google Street View
ericNystedt,Eric Nystedt Park,,Eastwood Street at Northwood Street,,46.544744,-84.308944,"https://www.google.com/maps/@46.5443339,-84.30929,3a,75y,82.7h,85.31t/data=!3m4!1e1!3m2!1sGh0glq43-dX-v5tBivfXNQ!2e0",Google Street View
esposito,Esposito Park,,Queen Street West at Andrew Street,,46.518169,-84.343483,"https://www.google.com/maps/@46.518181,-84.3420123,3a,75y,251.3h,89.59t/data=!3m4!1e1!3m2!1sYD23BPfVPhLG-haia_xRMQ!2e0",Google Street View
etienneBrule,Etienne Brule Park,Includes the Etienne Brule Orchard and Greco Pool is located on west side of park.,241 Albert Street West,,46.5192968,-84.3461952,"https://www.google.ca/maps/place/%C3%89tienne+Br%C3%BBl%C3%A9+Public+School/@46.5192968,-84.3461952,463m/data=!3m1!1e3!4m5!3m4!1s0x0:0x530b4286e10b92bb!8m2!3d46.5190198!4d-84.3455457",Google Street View
forestGlen,Forest Glen Park,Ben R McMillan School,Paradise Avenue and Peach Street,,46.525045,-84.297135,"https://www.google.com/maps/@46.5242689,-84.2975408,3a,75y,134.62h,87.03t/data=!3m5!1e1!3m3!1sLdcv_NOXTV4AAAQXL_pMvw!2e0!3e11",Photo Sphere (By Steven Veldt)
forestHeights,Forest Heights Park,St. Bernadette School,Princess Crescent and Palace Drive,,46.522991,-84.304753,"https://www.google.com/maps/@46.5232958,-84.3044339,3a,75y,38.1h,89.69t/data=!3m5!1e1!3m3!1sGgMxoqBcelkAAAQXL_pMwQ!2e0!3e11",Photo Sphere (By Steven Veldt)
glasgow,Glasgow Park,,"Glasgow Avenue, south of Wallace Terrace",,46.52679,-84.386015,,
glenwood,Glenwood Park,,"Glenwood Avenue, off Chambers Avenue",,46.522837,-84.260174,"https://www.google.com/maps/@46.5228119,-84.2602428,3a,75y,208.32h,86.6t/data=!3m5!1e1!3m3!1s3ic3ga_I-ksAAAQfCOxlog!2e0!3e11",Photo Sphere (By Steven Veldt)
greenAcres,Green Acres Park,,"East Dunrobin Bay, off Tallack Boulevard",,46.557626,-84.357789,,
greenfield,Greenfield Park,,Greenfield Drive and Beaumont Avenue,,46.55453,-84.349508,"https://www.google.com/maps/@46.5546593,-84.3502748,3a,75y,104.65h,87.9t/data=!3m4!1e1!3m2!1sga71-VomVSeljMmaf7mQug!2e0",Google Street View
hamilton,Hamilton Park,,Hamilton Avenue and Fauquier Avenue,,46.512986,-84.322089,"https://www.google.com/maps/@46.5123536,-84.3222808,3a,75y,358.22h,84.15t/data=!3m4!1e1!3m2!1scd_9_hHkFBHH-WbUwXf_9Q!2e0",Google Street View
highland,Highland Park,,Blake Avenue at Champlain Avenue at Cameron,,46.526751,-84.321133,"https://www.google.com/maps/@46.5270078,-84.3211178,3a,75y,10h,90t/data=!3m5!1e1!3m3!1sISVSvIvgUV8AAAQXL_pMxQ!2e0!3e11",Photo Sphere (By Steven Veldt)
hillside,Hillside Park,,Hillside Drive off Peoples Road,,46.546002,-84.352363,,
jamesLyon,James Lyons Park,,John Street at Elm Avenue,,46.533246,-84.338926,"https://www.google.com/maps/@46.5335605,-84.341531,3a,75y,70.96h,87.01t/data=!3m4!1e1!3m2!1sQD6ykbaCF7Cs5Vj-tT-VjQ!2e0",Google Street View
johnRowswell,John Rowswell Park,Includes waterfront walkway (Hub Trail) and Outdoor Fitness Equipment.,Bay Street at East Street,,46.506025,-84.330888,"https://www.google.com/maps/@46.5060147,-84.3322106,3a,75y,211.44h,90.5t/data=!3m5!1e1!3m3!1sCZl7AbGW2jIAAAQXL_pMxA!2e0!3e11",Photo Sphere (By Steven Veldt)
johnStreet,John Street Park,,John Street near Cathcart Street,,46.521263,-84.343908,"https://www.google.com/maps/@46.521281,-84.3443126,3a,75y,88.08h,90.53t/data=!3m4!1e1!3m2!1sYF5az4nTcdeQ5o4QxyLmSw!2e0",Google Street View
joseph,Joseph Park,,Joseph Street at Country Club Place,,46.505671,-84.282289,"https://www.google.com/maps/@46.5055319,-84.28213,3a,75y,220.28h,91.21t/data=!3m5!1e1!3m3!1seGMssVH3uY4AAAQfCSyvUQ!2e0!3e11",Photo Sphere (By Steven Veldt)
korah,Korah Park,,Korah Road at Seventh Avenue,,46.53293,-84.362538,"https://www.google.com/maps/@46.5330253,-84.3618561,3a,75y,253.02h,87.59t/data=!3m4!1e1!3m2!1sZO58cnSXpT24vsgtgnJURA!2e0",Google Street View
lasalle,LaSalle Park,,LaSalle Court and Mary Avenue,,46.545452,-84.332611,"https://www.google.com/maps/@46.5458057,-84.3333719,3a,75y,141.29h,89.36t/data=!3m4!1e1!3m2!1s5ef6oqIC28_oK2BnyxAeEQ!2e0",Google Street View
laurentian,Laurentian Park,,Rossmore Road and Pond Street and Korah Road,,46.545487,-84.37314,"https://www.google.com/maps/@46.5444975,-84.3737254,3a,49.3y,7.07h,86.41t/data=!3m4!1e1!3m2!1sqQtyyPUOBtAP_f9d1-isFA!2e0",Google Street View
lennox,Lennox Park,,Lennox Avenue off Bainbridge Street,,46.537105,-84.347815,"https://www.google.com/maps/@46.537782,-84.3479357,3a,41.4y,162.67h,92.4t/data=!3m4!1e1!3m2!1shmBRFi5-zUFtAA8Eo_o2MA!2e0",Google Street View
littner,Littner Park,,Eastern Avenue,,46.520089,-84.265837,"https://www.google.com/maps/@46.51973,-84.26542,3a,75y,108.36h,86.37t/data=!3m5!1e1!3m3!1sE2viQvxKdgoAAAQfCOxloQ!2e0!3e11",Photo Sphere (By Steven Veldt)
macdonald,Macdonald Park,,End of Marconi Street,"https://www.google.ca/maps/@46.5185042,-84.2998159,18z",46.5185042,-84.2998159,"https://www.google.ca/maps/@46.5187964,-84.299714,3a,60y,190.71h,88.05t/data=!3m6!1e1!3m4!1sghugl5VpqKjNT-xj43xrhQ!2e0!7i13312!8i6656",Google Street View
manitou,Manitou Park,,Manitou Drive and Amy Avenue and Greene Street,,46.528415,-84.27253,"https://www.google.com/maps/@46.52846,-84.2724808,3a,75y,107h,90t/data=!3m5!1e1!3m3!1suXac5DcEvK8AAAQfCOxlow!2e0!3e11",Photo Sphere (By Steven Veldt)
manzo,Manzo Park,,Goetz Street and Young Street,,46.528616,-84.377263,"https://www.google.com/maps/@46.528849,-84.3781796,3a,75y,123.87h,87.29t/data=!3m4!1e1!3m2!1sYTbO8jEU6IIPkMQxV8uj3Q!2e0",Google Street View
mcmeeken,McMeeken Park,,Goulais Avenue off Second Line West,,46.54034,-84.38116,,
meadow,Meadow Park,,Meadow Park Crescent at Irwin Avenue,,46.512279,-84.286015,"https://www.google.com/maps/@46.5122528,-84.2860858,3a,75y,23.16h,90.17t/data=!3m5!1e1!3m3!1swgjYK_exNKIAAAQfCSyvTw!2e0!3e11",Google Street View
mikeZuke,Mike Zuke Park,,215 Pittsburgh Avenue at Young Street,,46.528796,-84.383347,"https://www.google.com/maps/@46.5291935,-84.383978,3a,75y,113.51h,88.02t/data=!3m4!1e1!3m2!1si2kn4ndPi7j0yh9vmcwu4Q!2e0",Google Street View
moffley,Moffley Park,,Wilson Street at Nino Drive,,46.525323,-84.33291,"https://www.google.com/maps/@46.5257278,-84.3327228,3a,75y,52.32h,90.3t/data=!3m5!1e1!3m3!1s-UeC-pP8x2cAAAQXL_pMvg!2e0!3e11",Photo Sphere (By Steven Veldt)
munroe,Munroe Park,,"East Balfour Street, north of Spadina",,46.534399,-84.38498,"https://www.google.com/maps/@46.5350013,-84.3824366,3a,75y,236.53h,89.25t/data=!3m4!1e1!3m2!1sO8UeKc0XzMFiff6zB2SYzQ!2e0",Google Street View
northernHeights,Northern Heights Park,,Grandhaven Crescent and Strand Avenue,,46.530195,-84.327703,"https://www.google.com/maps/@46.5302289,-84.3278919,3a,75y,106h,90t/data=!3m5!1e1!3m3!1sL62_BRQI07cAAAQXL_pMvQ!2e0!3e11",Photo Sphere (By Steven Veldt)
northStreet,North Street Park,,North Street at Bloor Street at York Street,,46.52694,-84.33956,"https://www.google.com/maps/@46.527193,-84.340326,3a,75y,102.89h,81.15t/data=!3m4!1e1!3m2!1sXpdE_zpF6c4vhqGJOOYzpg!2e0",Google Street View
